,abundance,Alphacarmotetravirus,Alphachrysovirus,Alphaendornavirus,Alphanodavirus,Alphapartitivirus,Alphavirus,Ampivirus,Anulavirus,Aparavirus,Arenavirus,Avastrovirus,Bacillarnavirus,Benyvirus,Betapartitivirus,Capillovirus,Cardiovirus,Carlavirus,Chrysovirus,Closterovirus,Coguvirus,Cripavirus,Culicidavirus,Deltaflexivirus,Deltahypovirus,Duamitovirus,Fabavirus,Gammacoronavirus,Gammapartitivirus,Giardiavirus,Gruhelivirus,Hepatovirus,Hypovirus,Iflavirus,Kobuvirus,Kusarnavirus,Labyrnavirus,Ledantevirus,Lentinuvirus,Locarnavirus,Luteovirus,Macanavirus,Maculavirus,Magoulivirus,Marafivirus,Marnavirus,Metaavulavirus,Mitovirus,Mosavirus,Nacovirus,Narnavirus,Ollusvirus,Orthodiscovirus,Orthopicobirnavirus,Orthorubulavirus,Ourmiavirus,Phlebovirus,Picobirnavirus,Potexvirus,Potyvirus,Rotavirus,Salisharnavirus,Sapelovirus,Sclerotimonavirus,Sicinivirus,Sigmavirus,Sobemovirus,Sogarnavirus,Sopolycivirus,Tobamovirus,Tombusvirus,Torchivirus,Totivirus,Tremovirus,Tropivirus,Tupavirus,Tymovirus,Vesiculovirus,Yingvirus,Yuyuevirus
QHDG1,99.98665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8813847,0,0,0,0,0,0,0,0,0,2.4497714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6441431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QHDG2,99.98552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5471714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QHDG3,52.2732,0,1.376029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1798389,0,0,0,0,0,0,0,1.747645,0,0,0,0,3.7176497,0,0,0,2.292610,0,0,0,0,0,0,0,1.1115985,0,0,0,0,0,0,0,0,2.8646653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8175654,0
QHDT1,99.8472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1636443,0,0,0,0,0,0,0,0,0,0,0,0.9670797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7937904,0,0,0,2.2623324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QHDW1,1.8876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8012102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QHDW2,11.08801,0,0,0,0,0,0,2.180928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6698124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2052856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QHDW3,98.89633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9878896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5786392,0,0,0,0,0,0,0,0
QHDYW1,99.97863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4502491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5599066,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1977959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QHDYW2,99.75915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6562899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1878026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6684139,0.9938769,0,0,0,0,0,0,0
QHDYW3,97.7189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3821972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7839036,0,0,0,0,0,0,0.774517,0,0,2.6715246,0,0,0,0,0,0,0,0,0,0,0,2.4207312,0,0,0,0,0,0,0
QHMG1,79.78828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01536,0,0,2.6965573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8579353,1.6687585,0,0,1.5492486,0,0,0,0,0,0,0,0,2.201315,0,2.050264,0,1.136721,0,0,0,0,0,0,0,0,0.8762178,0.8007171,0,0,0,0,0,0
QHMG2,77.63547,0,0,0,0,0,0,0,0,0,1.815511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6067252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0599419,2.6041720,0,0,1.4631461,0,0,0,0,0,0,0,0,0,3.0401314,0,0,0,0,0,0,0,0,1.3671695,0,0,3.0144827,0,0,0,0,0,0,0
QHMW1,95.55901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9934715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0689276,1.7353593,0,0,1.7266457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1417789,0,0,0,0,0,0,0
QHMW2,99.87389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9635990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5550944,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7497363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QHMW3,92.16233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3390537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8546096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QHMYW1,96.47189,1.139564,0,0,0,0,0,0,0,0,0,1.3207692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.963929,0,0,0,1.9128595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3418301,1.091667,0,0,0,0,0,0,0,0,0,0,0,0,2.1192889,0,0,0,2.781985,0,0,0,2.4733556,0,0,0,0,0,0,0
QHMYW2,97.90186,0,0,0,0,0,0,0,0,0,0,0.2095150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.267477,0,0,0,0.6159501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1931246,0,0,0,0.5932861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5766868,0,0,0,0,0,0,0
QHMYW3,95.36267,0,0,0,0,0,0,0,0,0,0,0,0,2.647745,0,0,0,0,0,0,0,0,0,0.9014583,0,0,0,1.172311,0,0,0,2.9104163,1.165541,0,0,0,0,1.783117,0,0,0,0,0,0,0,0,0.7118072,1.5599066,0,0,2.1123704,0,0,0,0,0,0,0,0,0,2.3788882,0,0,0,2.0732416,1.706291,0,0,0,0,0,0,2.9741431,0,0,0,0,1.484157,0,0
