,abundance,Aliusviridae,Alphaflexiviridae,Arenaviridae,Aspiviridae,Astroviridae,Barnaviridae,Benyviridae,Betaflexiviridae,Birnaviridae,Botourmiaviridae,Bromoviridae,Caliciviridae,Carmotetraviridae,Chrysoviridae,Chuviridae,Closteroviridae,Coronaviridae,Cruciviridae,Deltaflexiviridae,Dicistroviridae,Discoviridae,Endornaviridae,Flaviviridae,Hepeviridae,Hypoviridae,Iflaviridae,Kitaviridae,Luteoviridae,Marnaviridae,Mitoviridae,Mymonaviridae,Narnaviridae,Nodaviridae,Orthomyxoviridae,Paramyxoviridae,Partitiviridae,Permutotetraviridae,Phasmaviridae,Phenuiviridae,Picobirnaviridae,Picornaviridae,Polycipiviridae,Potyviridae,Qinviridae,Reoviridae,Rhabdoviridae,Secoviridae,Sedoreoviridae,Solemoviridae,Solinviviridae,Togaviridae,Tombusviridae,Totiviridae,Tymoviridae,Virgaviridae,Yueviridae
QHDT1,99.8472,0,0,0,0,0,0,0,0,0,0.967079734144497,0,2.7626260551755,0,0,0,0,0,0,0,0,0,0,0,1.22608411597582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28265382858354,0,0,0,0,0,0,0.793790384690819,0,0,0,1.29247759366778,0,0,0,0
QHDW1,1.8876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95439352115141,0,0,0,0,0,0,0,0,0,0,3.12631976640881,0,0,0,0
QHDW2,11.08801,0,0,0,0,0,0,0,0,0,0,0,2.89332336379849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19103160884862,0,0,1.51241754860084,0,0,0,0,0,0,0,0,5.40091848221022,0,0,0,0,0,0,2.20528558350052,0,0,0,2.64691320859569,0,0,0,0
QHDW3,98.89633,0,0,0,0,0,0,0,0,0,0,0,1.30728204703335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409933123331295,0,0,0,0,0,0,0,2.16533337259698,0,0,0,0,0,0,0,0,0,0,1.21192108430851,0,0,0,0
QHDYW1,99.97863,0,0,0,0,0,0,0,0,0,0,0,0.918554530550273,0,0,0,0,0,0,0,0.514547752660286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.559906625036112,0,0,0,0,0,1.5328817194074,0,0,0,0,0,0,3.1977958907862,0,0,0,1.20248831706009,0,0,0,0
QHDYW2,99.75915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.709269960975831,0,0,0,0,0,0,0,0,2.12561137189746,0,0,0,0,0,1.18780263871842,0,0,0,0,0,2.73770140771463,0,0,0,0,0,0,0,0,0,0,1.5700757053216,0.993876914941211,0,0,0
QHDYW3,97.7189,0,0,0,0,0.948901760970214,0,0,0,0,0,0,1.49220145139254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68690426956818,0,0,1.28981183911762,0,0,0,1.8394780473742,0,0,0,0.77451696572855,2.42605558248393,0,0,0,0,0,0,2.67152458062967,0,0,0,1.60042832573213,2.42073117144157,0,0,0
QHMG1,79.78828,0,0,0,0.72916478969277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583198773968623,0,2.10856502373283,0,0,0,0,0,0,2.48971948143579,1.90939554596711,1.13672056715641,1.95007262975016,0,0,0.857935264719429,1.01535975540921,0,0,0,0,2.82648297728105,0,2.20131517423399,0,0,0,0,0,0,0,0,2.68743977454589,0.876217840591642,0,0,0
QHMG2,77.63547,0,0,1.81551133736276,0,0,0,0,0,0,0,0,1.44731310882357,0,0,0,0,0,0,0,0.884795363948981,0,0,0,0,0,0,0,0,3.33589298015512,2.93882982478403,0,2.3289297689479,0,0,1.05994188806195,0,0,0,0,0,3.54559036719993,0,0,0,0,0,0,3.04013140141404,0,0,0,3.02121825107034,3.01626847491588,0,1.36716948853468,0.741151598851785
QHMW1,95.55901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19423674872383,0,0,0,1.35926616460675,0,1.44777800929462,0,0,1.27783833300205,1.73535933300171,0,2.39750549689802,0,0,1.06892761168207,0,0,0,0,0,3.03277585196113,0,0,0,0,0,0,0,0,0,0,2.45007966962169,3.1417788971823,0,0.983626287124535,0
QHMW2,99.87389,0,0,0,0,0.537819095073274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776701183988411,0,0,0,0.656098202012832,0,0,0,0,2.68760029736491,0,0,0.496929648073215,0,0,0.555094448578319,0,0,0,0,0,2.28062389151291,0,0,0,0,0.634477270160732,0,0.749736315569061,0,0,0,2.09826290237993,0,0,0.496929648073215,0
QHMW3,92.16233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.786751422145561,0,0,0,0,0,0,0,0,1.44043676610577,0,0,0,0,0,0,0,0,0,0,0,2.18721039965005,0,0,0,0,0,0,0,0,0,0,1.40585839931764,0,0,0,0
QHMYW1,96.47189,1.09166695759568,0,0,0,1.54617236831694,0,0,0,0,0,0,0,1.13956426617585,0,0,0,2.06276994981513,0,0,2.10246800878802,0,0,0,1.71391035412896,0,1.00987563371216,0,0,1.37235958252432,2.10913964390402,0,1.79692107533017,0,0,0,2.31371961949509,1.69037330691606,1.45591024038274,0,0,2.39522152057351,2.7819850234023,0,0,0,0,0,0,1.12936759572299,1.44653716707364,0,2.21542604779377,2.48418591109799,1.57147590368194,0,0
QHMYW2,97.90186,0,0,0,0,0.209515014542631,0,0,0,0,0,0,0,0,0,0,0,2.48464144488241,0,0,0.332438459915605,0,0,0,0,0,0,0,0,0,0,0,0.938519725176492,0,0,0.193124598354462,0.396199347095736,0,0,0,0,0.615950051656401,0,0,0,0,0,0,0,0,0,0,0.690196080028514,1.62991903550354,0,0,0
QHMYW3,95.36267,0,0,0,0,0,0,2.6477447314699,0,0,0,0,1.09236969962912,0,0,0,0,1.25815819334079,0,0.901458321396112,0.496929648073215,0,1.83985498460189,0,1.37309598707873,1.45438746714695,0,1.24919835739111,0,3.14813973650122,1.55990662503611,0,3.30983662111479,1.25503116334555,0,0.711807229041191,1.36361197989214,0,0,0,0,3.30803055426611,2.24588264751726,0,0,0,2.15518415969401,0,2.37888824959041,0,0,0,1.5817221599491,2.97414309990222,0,0,0
